S. No.,Power,Scanning speed ,Pulse width,Frequency,Color,R,G,B,L,a,b,Special,,,,,,,,,,,
1,9,1000,5,50,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
2,9,1000,5,100,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
3,9,1000,5,150,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
4,9,1000,5,200,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
5,9,1000,5,250,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
6,9,1000,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
7,9,1000,5,350,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
8,9,1000,5,400,Empress grey,124,109,114,47.54,6.812,-0.63,grey,,,,,,,,,,,
9,9,1000,5,450,East bay blue,83,90,115,38.53,3.47,-15.1,blue,,,,,,,,,,,
10,9,1000,5,500,Chambrey Blue,74,86,120,36.87,4.5,-20.8,blue,,,,,,,,,,,
11,9,1000,10,50,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
12,9,1000,10,100,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
13,9,1000,10,150,Sandrift Brown,176,148,124,63.23,6.8,6.8,brown,,,,,,,,,,,
14,9,1000,10,200,Hurricane Brown,136,126,119,53.48,2.52,5.17,brown,,,,,,,,,,,
15,9,1000,10,250,Roven Blue,117,122,125,50.9,-1.24,-2.29,blue,,,,,,,,,,,
16,9,1000,10,300,Blue Bayoux,98,117,124,47.97,-5.33,-6.18,blue,,,,,,,,,,,
17,9,1000,10,350,Blue Bayoux,93,113,122,46.36,-5.198,-7.43,blue,,,,,,,,,,,
18,9,1000,10,400,Blue Bayoux,92,111,118,45.5686,-5.358,-6.23,blue,,,,,,,,,,,
19,9,1000,10,450,William Green,86,106,109,43.34,-6.7,-4.16,green,,,,,,,,,,,
20,9,1000,10,500,Tax Break Blue,78,102,100,41.28,-9.35,-1.8,blue,,,,,,,,,,,
21,9,1000,10,50,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
22,9,1000,15,100,Pavlova Yellow,181,166,132,68.58,0,19.6,yellow,,,,,,,,,,,
23,9,1000,15,150,Pale Oyster Brown,157,132,110,56.87,6.1,15.4,brown,,,,,,,,,,,
24,9,1000,15,200,Concord Grey,126,121,115,51.1,0.76,3.96,grey,,,,,,,,,,,
25,9,1000,15,250,Rolling stone Green,109,121,121,49.87,-4.44,-1.53,green,,,,,,,,,,,
26,9,1000,15,300,Rolling stone Green,105,120,117,49.15,-6.19,0.24,green,,,,,,,,,,,
27,9,1000,15,350,Rolling stone Green,105,117,117,48.27,-4.47,-1.53,green,,,,,,,,,,,
28,9,1000,15,400,Nevada Grey,101,116,113,47.56,-6.23,-0.24,grey,,,,,,,,,,,
29,9,1000,15,450,Sirocco Green,98,113,108,46.3,-6.69,0.87,green,,,,,,,,,,,
30,9,1000,15,500,Mineral Green,89,104,97,42.59,-7.22,2.02,green,,,,,,,,,,,
31,9,1000,20,50,Sandrift Brown,175,158,130,65.88,1.745,16.91,brown,,,,,,,,,,,
32,9,1000,20,100,Crater Brown,79,66,60,29.12,4.47,5.72,brown,,,,,,,,,,,
33,9,1000,20,150,Ironside Grey,114,107,101,45.68,1.59,4.33,grey,,,,,,,,,,,
34,9,1000,20,200,Hurricane Brown,131,122,117,51.87,2.5,3.96,brown,,,,,,,,,,,
35,9,1000,20,250,Hurricane Brown,135,124,118,52.81,3.1,4.78,brown,,,,,,,,,,,
36,9,1000,20,300,Americano Brown,136,126,116,53.4,2,6.8,brown,,,,,,,,,,,
37,9,1000,20,350,Americano Brown,139,127,111,53.8,1.78,10.35,brown,,,,,,,,,,,
38,9,1000,20,400,Squirrel Brown,141,125,110,53.44,3.57,10.42,brown,,,,,,,,,,,
39,9,1000,20,450,Sand Dune Brown,131,115,100,49.5,3.67,10.58,brown,,,,,,,,,,,
40,9,1000,20,500,Sandstone Brown,116,104,92,44.78,2.6,8.48,brown,,,,,,,,,,,
41,9,1000,25,50,Bronco Brown,172,155,127,64.76,1.77,16.98,brown,,,,,,,,,,,
42,9,1000,25,100,Crater Brown,78,67,63,29.39,3.93,4.15,brown,,,,,,,,,,,
43,9,1000,25,150,Flint Green,117,111,99,47.04,0.1,7.51,green,,,,,,,,,,,
44,9,1000,25,200,Hurricane Brown,131,122,117,51.87,2.5,3.96,brown,,,,,,,,,,,
45,9,1000,25,250,Hurricane Brown,135,126,119,53.39,2.13,5.02,brown,,,,,,,,,,,
46,9,1000,25,300,Americano Brown,134,124,114,52.62,2,6.83,brown,,,,,,,,,,,
47,9,1000,25,350,Americano Brown,138,126,114,53.53,2.45,8.18,brown,,,,,,,,,,,
48,9,1000,25,400,Squirrel Brown,139,123,108,52.66,3.59,10.45,brown,,,,,,,,,,,
49,9,1000,25,450,Sandstone Brown,124,112,96,47.9,1.88,10.6,brown,,,,,,,,,,,
50,9,1000,25,500,Dorado Brown,109,98,92,42.4,3.27,5,brown,,,,,,,,,,,
51,9,1000,30,50,Dark Wood Brown,134,99,69,44.83,10.18,22.52,brown,,,,,,,,,,,
52,9,1000,30,100,Saddle Brown,96,79,69,35.02,5.37,8.56,brown,,,,,,,,,,,
53,9,1000,30,150,Bazaar Brown,138,117,114,51.08,7.64,4.68,brown,,,,,,,,,,,
54,9,1000,30,200,Hurricane Brown,137,126,121,53.62,3.27,4.22,brown,,,,,,,,,,,
55,9,1000,30,250,Grey,131,121,120,51.67,3.63,1.92,grey,,,,,,,,,,,
56,9,1000,30,300,Bazaar Brown,141,119,121,52.1,8.88,2.07,brown,,,,,,,,,,,
57,9,1000,30,350,Bazaar Brown,141,117,115,51.4,9,4.6,brown,,,,,,,,,,,
58,9,1000,30,400,Ferra Brown,135,111,111,49.09,9.44,3.54,brown,,,,,,,,,,,
59,9,1000,30,450,Falcon Brown,117,101,101,44.27,6.37,2.34,brown,,,,,,,,,,,
60,9,1000,30,500,Kabul Brown,105,95,86,40.99,2.34,6.6,brown,,,,,,,,,,,
61,9,1000,35,50,Potters Clay Brown,130,90,64,41.89,13.19,21.55,brown,,,,,,,,,,,
62,9,1000,35,100,Quincy Brown,100,80,69,35.74,6.52,9.64,brown,,,,,,,,,,,
63,9,1000,35,150,Hurricane Brown,130,119,117,50.95,3.85,2.62,brown,,,,,,,,,,,
64,9,1000,35,200,Rolling stone Green,120,122,121,51.03,-0.95,0.27,green,,,,,,,,,,,
65,9,1000,35,250,Monsoon Grey,124,119,122,50.55,2.5,-0.97,grey,,,,,,,,,,,
66,9,1000,35,300,Empress grey,130,114,117,49.57,6.77,0.63,grey,,,,,,,,,,,
67,9,1000,35,350,Bazaar Brown,136,115,112,50.29,7.67,4.7,brown,,,,,,,,,,,
68,9,1000,35,400,Ferra Brown,130,109,106,47.91,7.75,4.75,brown,,,,,,,,,,,
69,9,1000,35,450,Salt Box Violet,105,99,103,42.62,3.18,-1.42,violet,,,,,,,,,,,
70,9,1000,35,500,Zambezi Brown,103,92,90,40.04,4.05,2.76,brown,,,,,,,,,,,
71,9,1000,40,50,Quincy Brown,111,82,69,37.56,10.16,12.34,brown,,,,,,,,,,,
72,9,1000,40,100,Buccaneer Red,107,79,76,36.44,11.28,6.35,red,,,,,,,,,,,
73,9,1000,40,150,Rolling stone Green,111,121,120,49.99,-3.93,-0.73,green,,,,,,,,,,,
74,9,1000,40,200,Rolling stone Green,112,122,121,50.38,-3.92,-0.74,green,,,,,,,,,,,
75,9,1000,40,250,Rolling stone Green,111,119,121,49.44,-2.56,-2.14,green,,,,,,,,,,,
76,9,1000,40,300,Empress grey,127,112,115,48.68,6.4,0.47,grey,,,,,,,,,,,
77,9,1000,40,350,Empress grey,123,108,113,47.14,6.82,-0.62,grey,,,,,,,,,,,
78,9,1000,40,400,Empress grey,118,102,105,44.76,6.91,0.65,grey,,,,,,,,,,,
79,9,1000,40,450,Flint Green,110,106,95,44.87,-0.53,6.73,green,,,,,,,,,,,
80,9,1000,40,500,Chicago Grey,94,99,90,41.28,-3.81,4.44,grey,,,,,,,,,,,
81,9,1000,45,50,Quincy Brown,100,71,65,33.13,11.5,8.51,brown,,,,,,,,,,,
82,9,1000,45,100,Congo Brown,102,74,70,34.32,11.27,7.05,brown,,,,,,,,,,,
83,9,1000,45,150,Sirocco Green,111,122,116,50.17,-5.34,1.87,green,,,,,,,,,,,
84,9,1000,45,200,Rolling stone Green,112,122,121,50.38,-3.92,-0.74,green,,,,,,,,,,,
85,9,1000,45,250,Nevada Grey,104,118,119,48.55,-4.96,-2.32,grey,,,,,,,,,,,
86,9,1000,45,300,Empress grey,123,112,116,48.33,5.03,-0.67,grey,,,,,,,,,,,
87,9,1000,45,350,Empress grey,122,110,112,47.57,5.06,0.58,grey,,,,,,,,,,,
88,9,1000,45,400,Scorpion Grey,109,103,105,44.19,2.75,-0.28,grey,,,,,,,,,,,
89,9,1000,45,450,Zambezi Brown,109,101,98,43.42,2.58,2.83,brown,,,,,,,,,,,
90,9,1000,45,500,Storm Dust Grey,101,97,86,41.2,-0.53,6.84,grey,,,,,,,,,,,
91,9,1000,50,50,Quincy Brown,98,71,64,32.86,10.46,8.73,brown,,,,,,,,,,,
92,9,1000,50,100,Buccaneer Red,117,78,81,37.52,16.91,4.93,red,,,,,,,,,,,
93,9,1000,50,150,Sirocco Green,114,125,119,51.35,-5.32,1.87,green,,,,,,,,,,,
94,9,1000,50,200,Rolling stone Green,111,121,123,50.08,-3.28,-2.38,green,,,,,,,,,,,
95,9,1000,50,250,Raven Blue,108,117,122,48.66,-2.27,-3.91,blue,,,,,,,,,,,
96,9,1000,50,300,Express Grey,122,111,115,47.93,5.044,-0.67,grey,,,,,,,,,,,
97,9,1000,50,350,Express Grey,119,107,111,46.42,5.47,-0.52,grey,,,,,,,,,,,
98,9,1000,50,400,Dim Grey,105,105,105,44.41,0,0,grey,,,,,,,,,,,
99,9,1000,50,450,Flint Green,110,104,92,44.22,0.11,7.6,green,,,,,,,,,,,
100,9,1000,50,500,Storm Dust Grey,100,99,85,41.67,-2.31,8.1,grey,,,,,,,,,,,
1,3,200,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
2,3,344,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
3,3,489,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
4,3,633,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
5,3,778,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
6,3,922,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
7,3,867,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
8,3,1011,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
9,3,1155,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
10,3,1300,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
11,6,200,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
12,6,344,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
13,6,489,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
14,6,633,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
15,6,778,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
16,6,922,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
17,6,867,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
18,6,1011,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
19,6,1155,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
20,6,1300,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
21,9,200,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
22,9,344,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
23,9,489,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
24,9,633,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
25,9,778,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
26,9,922,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
27,9,867,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
28,9,1011,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
29,9,1155,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
30,9,1300,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
31,12,200,5,300,Boulder Grey,124,129,125,53.456,-2.66,1.51,grey,,,,,,,,,,,
32,12,344,5,300,Gunsmoke Grey,126,127,121,52.94,-1.55,3.12,grey,,,,,,,,,,,
33,12,489,5,300,Blue Bayoux,99,120,121,50.93,-11.36,-0.05,blue,,,,,,,,,,,
34,12,633,5,300,Bismark Blue,80,105,127,43.27,-3.33,-15.18,blue,,,,,,,,,,,
35,12,778,5,300,Comet Blue,104,102,123,44.05,5.42,-11.42,blue,,,,,,,,,,,
36,12,922,5,300,Empress Grey,127,108,110,47.45,7.84,1.66,grey,,,,,,,,,,,
37,12,867,5,300,Hemp Brown,150,120,110,52.99,10.1,9.91,brown,,,,,,,,,,,
38,12,1011,5,300,Mongoose Brown,169,132,113,58.09,11.02,17.31,brown,,,,,,,,,,,
39,12,1155,5,300,Pale Taupe Grey,181,150,119,64.13,7.04,20.69,grey,,,,,,,,,,,
40,12,1300,5,300,Rdeo Dust Brown,195,166,122,69.67,4.35,26.73,brown,,,,,,,,,,,
41,15,200,5,300,Hoki Blue,91,120,136,48.8,-6.3,12.1,blue,,,,,,,,,,,
42,15,344,5,300,Hoki Blue,93,119,136,48.63,-5.1,-12.34,blue,,,,,,,,,,,
43,15,489,5,300,Blue Bayoux,95,114,129,47.04,-3.36,-10.57,blue,,,,,,,,,,,
44,15,633,5,300,Blue Bayoux,96,112,128,46.49,-2.1,-10.8,blue,,,,,,,,,,,
45,15,778,5,300,Raven Blue,108,112,124,47.27,1.11,-7.14,blue,,,,,,,,,,,
46,15,922,5,300,Empress Grey,125,116,117,49.66,3.66,0.69,grey,,,,,,,,,,,
47,15,867,5,300,Hurricane Brown,138,123,120,52.87,5.21,3.73,brown,,,,,,,,,,,
48,15,1011,5,300,Hemp Brown,146,126,115,54.31,5.81,8.81,brown,,,,,,,,,,,
49,15,1155,5,300,Almond frost brown,156,133,117,57.2,6.16,11.86,brown,,,,,,,,,,,
50,15,1300,5,300,Pale Oyster Brown,159,137,116,58.53,4.96,14.34,brown,,,,,,,,,,,
51,18,200,5,300,Lynch Blue,102,125,139,51.1,-4.93,-10.33,blue,,,,,,,,,,,
